0.214;5.04;0.024;0.0504
0.216;5.12;0.016;0.0512
0.218;5.04;0.024;0.0504
0.22;5.12;0.016;0.0512
0.222;5.04;0.024;0.0504
0.224;5.04;0.024;0.0504
0.226;5.04;0.016;0.0504
0.228;5.04;0.024;0.0504
0.23;5.12;0.016;0.0512
0.232;5.12;0.016;0.0512
0.234;5.12;0.024;0.0512
0.236;5.12;0.016;0.0512
0.238;5.12;0.016;0.0512
0.24;5.2;0.008;0.052
0.242;5.12;0.008;0.0512
0.244;5.12;0.016;0.0512
0.246;5.12;0.016;0.0512
0.248;5.12;0.016;0.0512
0.25;5.12;0.016;0.0512
0.252;5.2;0.016;0.052
0.254;5.12;0.016;0.0512
0.256;5.12;0.016;0.0512
0.258;5.12;0.016;0.0512
0.26;5.12;0.016;0.0512
0.262;5.12;0.016;0.0512
0.264;5.12;0.016;0.0512
0.266;5.04;0.016;0.0504
0.268;5.12;0.016;0.0512
0.27;5.04;0.008;0.0504
0.272;5.04;0.008;0.0504
0.274;5.04;0.008;0.0504
0.276;5.04;0.008;0.0504
0.278;5.04;0.016;0.0504
0.28;5.04;0.008;0.0504
0.282;4.96;0.008;0.0496
0.284;5.04;0.016;0.0504
0.286;4.96;0.008;0.0496
0.288;4.96;0.008;0.0496
0.29;4.96;0.008;0.0496
0.292;4.96;0.008;0.0496
0.294;4.88;0.016;0.0488
0.296;4.88;0.008;0.0488
0.298;4.88;0.008;0.0488
0.3;4.88;0.008;0.0488
0.302;4.8;0.008;0.048
0.304;4.8;0.008;0.048
0.306;4.8;0.008;0.048
0.308;4.8;0;0.048
0.31;4.72;0.008;0.0472
0.312;4.72;0.008;0.0472
0.314;4.72;0;0.0472
0.316;4.64;0.008;0.0464
0.318;4.64;0.008;0.0464
0.32;4.56;0;0.0456
0.322;4.56;0;0.0456
0.324;4.56;0;0.0456
0.326;4.56;0;0.0456
0.328;4.48;0;0.0448
0.33;4.48;0;0.0448
0.332;4.4;0;0.044
0.334;4.48;0;0.0448
0.336;4.48;0;0.0448
0.338;4.4;0;0.044
0.34;4.32;0;0.0432
0.342;4.24;0;0.0424
0.344;4.24;0;0.0424
0.346;4.24;0;0.0424
0.348;4.16;0;0.0416
0.35;4.16;0;0.0416
0.352;4.08;0.008;0.0408
0.354;4;-0.008;0.04
0.356;4;0;0.04
0.358;4;0;0.04
0.36;3.92;0;0.0392
0.362;3.92;-0.008;0.0392
0.364;3.84;-0.008;0.0384
0.366;3.84;-0.008;0.0384
0.368;3.76;-0.008;0.0376
0.37;3.76;-0.008;0.0376
